review_text,sentiment
this was our first trip to new york so i was unsure where to stay location is really important to us and since we had tickets to a concert at madison square gardens across the road we decided on the affinia manhattan with macys only a couple of blocks away and great local eating we were thrilled with our choice the room was large and the added bonus of a kitchenette made this a great place to stay i cant thank the concierge staff enough for their help with tickets sightseeing etc their local knowledge and friendly service helped make our trip yes the bathrooms were small but perfectly adequate and yes it was noisy but we were in the middle of manhattan i thought it added to the experience,Positive
stayed nights at the affinia manhatten in a studio suite and everything was greattwo very comfortable double beds which was enough for three adults housekeeping was excellent and we had no problems with anything we needed a quick phone call to reception and it was sorted we had a room on the th floor so the noise was not too bad only the fire engines on our street but they were not too often if you need a good diner in the area the best one we went to was at the back entrance of madison squre gardens called the stage door deli we had our thanksgiven dinner there and it was delicious thanks again to amy for all the help with our booking will definitely recommend the affinia to our family and friends cant wait to go back,Positive
we stayed at the affinia from the rd to the th novemberi had done a great deal of research on hotels to find one that i thought would be a good betonce we got our room sorted we did change times as first one had no tub and the second was overlooking an internal courtyard and foot away from somebody elses window we finally got a room on the th floor overlooking maddison square gardens it was a great room could see all the way down to times square and had the buzz of city lifethe concierge at the hotel were fantastic maureen and ashley were great when asked for advice and help regarding transportation etc and where to buy ugg boots thanks ashley and another lady sorry cant remember her name who recommended an amazing thai restaurant in chelsea about a minute walk from the hotel the food at spice was so good we went twice had amazing cocktails wait staff were amazing and you never once felt rushed if you have a chance to go gothe bar next door niles is great reasonably priced great cocktails and great service including great banter from the bar staffwe loved new york and cant wait to come back for our honeymoon although i think we would stay somewhere else inthe city not because we didnt love the affinia but because we would like to see something different,Positive
we loved this hotel the room was great we had a room with a patio on the th floor my husband is a smoker so this worked out well because the kids and i hate the smoke the room was very spacious bathroom very small but very clean bedroom was great living room and kitchen were very spacious only problem was the noise i am still hearing sirens and taxi horns i would recommend this hotel to families because of the kitchen and seperate bedroom we really enjoyed our first trip to new york city,Positive
my teenage daughter and i stayed one night we were on the th floor facing madison square garden and the train stationthe one negative about this hotel is the street noise you can hear it loud and clear ask for a room in the back away from the street and on a high floor the room was clean and yes the bathroom was small but i was not planning on speding a lot of time in there tv was an old model but it worked and we were not in the city to look at tv staff was friendly and helpful they do have a locked room for your suitacases if your room is not ready room was clean and somewaht outdated in decor for less than a night for queen beds and a kitchenette it was well worth the money,Positive
i was slightly nervous about staying at the affinia manhattan because id read some poor reviews on tripadvisor however my partner and i thought it was excellent and would recommend it to anyone especially if it was their first visit to new york the hotel is in a fab location just over the road from penn station so if youre flying in to newark you can just hop on a train at the airport straight to penn the reception staff were extremely helpful and gave us a choice of rooms explaining that some would be noisy our room was at the back and on the th floor it was large with a fully functioning kitchen and bathroom with tub and shower we slept with the windows open so could hear some traffic noise but it didnt disturb us we had a fab trip and looking forward to returning again next year,Positive
excellent location blocks to macys blocks to times square and across from penn station we had a studio room on the rd floor room was huge full kichen decent sized full bathroom and king sized bed the only downfall was the noise being so close to street level the night time noise was awful ask for a highlevel roomthe kitchen was handy for breakfast there is a deli just downstairs to pick up some bits good hotel and great value for the money,Positive
was recommended this hotel by friends and although at time of booking were able to find cheaper accomodation have no regrets whatsoever hotel in ideal location across from madison square garden a ten min walk from time square and empire state bus from across the road brings you to battery city park for ferries to statue of liberty and ellis island room spacious kitchenette with full size fridge huge bed pillow menu although ensuite a bit on small side all spotlessly clean reception staff doormen conceirge all excellent nothing too much bother gave helpful info on restaurants and visiting tourist sites well be back,Positive
my husband and i have just return from our night stay at the affinia manhatten hotel on what was our rd visit to nyc the location of the hotel is fantastic and many of the citys top attractions such as the empire state building times square fifth avenue etc are within very easy reach in fact if you are planning to visit maddison square garden this hotel is right across the street i hadnt read any reviews of the hotel prior to booking as i booked through a travel agent and we had previously stayed at the affinia shelbourne on our last visit a year ago we were not disapointed at all im surprised at some of the critical reviews about this hotel yes the bathrooms are a bit cosy but having stayed at the shelbourne hotel the bathrooms are tiny there to as they are in may big city hotels yes the decor in the rooms and the hallways is looking a little dated but the beds are comfy and have lovely quality bedding and the showers are hot and powerful and way better than my shower at home the best bit was having the kitchen area including a fridge so we always had chilled water or whatever we needed for the amount of time you spend in your room in this city it was more than acceptable to us and we are regular travellers i will say that i agree with the comments about the noise however we had a room on the third floor and the traffic and the fire crews heading out could be rather loud they didnt disturb me but i am not a light sleeperoverall i would recommend this hotel if you are looking for a great location friendly and helpful staff and good value for your money we would certainly stay here again,Positive
the affinia is classy and clean and the staff provided us with great service my boyfriend and i stayed at the affinia manhattan for two nights in march with our golden retrieverwe werent interested in spending a ton of money or staying at an unnecessarily fancy place it was just a night for a studio suite the one we got was huge but it was also plain and basic we had a super comfortable kingsized bed small kitchen and highspeed connectionthere was plenty of room for our dog barney to walk around we wanted to make sure we picked a place where barney could have a good time the location is great right next to madison square garden its also a minute walk to a dog parkrestaurants and bars nearby after all it is new york we had some drinks at the bar in the hotel they have some good fruity specialty drinks for about its a nice place to get drinks before or after a night out,Positive
we booked this trip through a discounter name begins with price and ends with line at a decent rate i called right after booking and spoke with someone to make sure that we would have beds in our room as we were traveling with our child he said no problem funny thing when we checked in the very quotnicequot attendant said that in order to have two beds we would need to upgrade the room and that she would quotgive usquot a discount from to i mentioned that i had called and that quotstevequot hadnt mentioned an upgrade charge she said that he wouldnt know about thatfind that hard to believe the room was spacious and thats about the only positive thing that i could say about the hotel when we arrived to our room the service man was still in it with his equipment one container appeared to be fumigation spray he quickly left for nyc the rooms are spacious we were on the st floor unfortunately given the old windows not high enough to be away from city noisewe had two full size beds and a kitchenette the beds are hard and uncomfortable though the sheets were nice our floor underneath the bed sported a left behind sock and some really nasty looking debris the bathroom was small but clean with just a little mildew in the tub grout carpets are worn as are the walls and furniture tvs are old school there is a clock radio and a hair dryer iron and ironing board are also provided the draperies were dingy around the edges be warned they do not supply coffee in the room but there is a coffee maker toaster microwave stove and full size fridge along with a sink they also provide some basics such as plates glasses and some pots and pans no dish soap but there was a dish towelbell staff was helpful when you could find them and the lobby is pretty much the only nicely appointed area from what i saw of the building ill not be going back to this hotel,Positive
this lobby was not bad but the minute we hit our hallway i knew we were in big trouble think of something out of the shining the bathroom was so incredibly small furniture old and chipped carpet was so old and had lumps and bumps all in it and the overall musty smell was the topper oh and our window was stuck open couldnt close it do not waste your time or money no matter what good deal you are getting ive stayed in nicer econolodge we ran to the waldorf which is not that great anymore but was way better than here,Positive
stayed four nights in october in excellent queen bed studio on the corner looking towards penn station and down to times square booked via travelrepublic six weeks ahead and got a great dealroom was clean and bright huge fridge in well resourced kitchen there is a shop for groceries two doors down restaurants aplenty nearby we breakfasted mostly at andrews coffee shop three blocks away great diner with all the classic favourites with a mixed crowdover the road is harringtons bar and restaurant went for lunch to watch a football proper footballsoccer match from london fulham v roma got a metro pass with loaded on and it lasted four days walked to grand central empire state book ahead times square lion king was amazing and macys two blocks awaya big shout to the women at the concierge desk in the lobby incredibly helpful and knowledgable you can print off your boarding pass there tooi would definitely go there again especially if you can get the deal,Positive
hotel was an excellent find i stayed with my wife and another couple two rooms and the affinia manhattan was in an excellent location as penn station is so central and the hotel is just a short walk to macys times square etc as other reviews state for this hotel the rooms sizes are excellent we had a queen sized bed with lots of floor space and an good kitchen bathroom too obviously the lobby is very decadent and the staff were great only gripe would be the hotel bar we used it once but the air con was too cold and the girls didnt want to go back but really when we take our kids to nyc well stay at this hotel,Positive
its location half a block down from penn station is ideal and a short walk to macys and the empire state if its your first visit to ny you could not do much better the lirr along with the airttrain from jfk to jamaica arrive across the road even with a heavy load it is very acccessible it was my first time staying in the affinia had no complaints at all was on the ninth floor can be noisy for light sleepers when the fire station horns start blaring you become immune to them after the first night nearly the room was a fine size plenty of towels and the bathroom gels were always restocked which was nice checkin and checkin out were stress free and all the staff were nothing but polite even tom the doorman took our bags to the traffic lights outside and could not have been nicer across the road is penn station and by subway it makes all of ny easy to get to would i stay here again yes ideal for a short stay in the big apple,Positive
just back from a week in the affinia manhattan for the second time as last time the thing that stood out was the wonderful service and the onebedroom suite we arrived from london worn out and were immediately made very welcome by nino diaz at the front desk who also sorted out a change of room as i wanted to be on a higher floor nino and the information desk staff looked after us so well throughout our stay our room was kept immaculate and extra pillows and minor repairs sorted out very quicklyi love the fact that the bones of this hotel are old and the room queen bedroom living room with sofa bed two bathrooms kitchen was just like living in a flat very very comfortable bed and my son didnt complain about the sofa bedthe decor is fine but this is not a cutting edge hotel the bathrooms are small but clean and freshly decorated the kitchen is fully equipped including a filter coffee machinethe location is fantastic with several subway lines either just across the road or a couple of blocks away and the easy trip to jfk from penn station is great noise can be a problem with the fire station so close by but as my son said its what new york sounds like personally i love the fact that you can open the windowsa minor gripe is no free wireless internet but you can use a computer for free at the information desk to check in your flight and print a boarding passthis hotel is great as long as you take it for what it is not flashy but very comfortable and convenient,Positive
the location of this hotel is amazing we walked everywhere taking the airtrain and lirr from jfk for only per person instead of a cab ride and being able to get off at penn station and walk across the street to the hotel was pricelessour room looked nothing like what is advertised on the hotel website if any of the rooms and hallways have been renovated they certainly werent on the th floor where we stayed the room was outdated carpet was stained drapes and shades were dirty the bed was the only redeeming quality the bathroom was so small you could barely turn around the kitchen had no plates or silverwarethe staff is adequate dont expect anything special from themif youre looking for a great convenient location and a clean bed to sleep in this is the place if youre looking for a typical boutique hotel that will create a memorable experience of your stay in nyc with outstanding rooms services and amenities this is definitely not the place,Positive
stayed in a bedroom suite nd highest floor view of empire state from bedroom great location just a few blocks from times square walked everywhere would definately stay again,Positive
we booked this hotel after reading about it on tripadvisor and never having been to new york before we did not know what to expect it turned out to be a gem great location right in the middle of all the action as said before after a long trip the bed was heaven foot wide and really comfortable the room was very big and we even had the kitchen area which came with a cooker fridge microwave and utensiles we were at the back and think it was a better room than being near the front as the noise is hour food is no problem in ny and macys is a couple of blocks away also penn station across the road will take you direct to newark airport for approx saving a fortune on taxiswe recommend this hotel to anyone on a first trip a great experience,Positive
